tag,name,trophies,clan_tag,clan_name
#YQ8UQCYGV,pro,4785,#YJQUGYC8,pro
#890JLYJYR,cemiiiiiiiiiii,9261,#2RCGRL9J,legend
#JCCP0C2V,Dujytghi12345,9600,#L8QRQ20Q,como vas !
#JC8QJYLPP,queen katja,7458,#JR9GQR,Pro Team
#UYLPU22LQ,Gominde Gomindi,6727,#G9PRUQYU,do rj pro mundo
#UG0Q2J9LU,zahra,7560,#GRU2RJPL,King
#V8JQRRQ2R,shombol,8300,#QVG0UCY8,Mega
#U2CYYJQJR,joao,628,#QQUJCJ8Y,157 das corneta
#GGQ0GGR,ahsaYunI,9144,#RQC0VJY9,Star
#RVGLLYQ09,Zenku,4270,#G89LLLC2,Niche Incel Cor
#UJPYJJ009,1TRRNMAN,7851,#YG2029C8,Clan
#VQ9L0LRR9,gio,134,#QLQ8VQ80,Como
#C2LUY8LYG,Muzzeli0,7643,#GCCR8Y08,STAR
#CGYQ088UY,Eyut,1456,#G9VQJPLG,Star
#208PJURJRR,skyla,7632,#G0PV90C2,feo como Hans;)
#V8GVRRVUR,mac112616,823,#G82CJL9P,Wrtto
#UVPUQC898,"benitocameI.,",4260,#G8GVJPG0,como sea
#209C8UPVCY,Albay Zagloba,7516,#QVJJJUJ0,Pro Team
#80J8RVR0U,Supercell,5817,#RQL2GQGU,Pro Starcity
#J2UYVL2PJ,aaron,490,#Y9LC0QJC,war
#2LJGCYJUP,omar 10,10000,#V2CVQCP,Clan
#20P08JUVPL,l3xi,1955,#RRYL90RQ,we will wait
#GC2L8C8R0,Rand,5195,#QVJ0QUYY,wait wait wait
#9V8P090C,¥LemoN¥,9763,#Q008R8Q9,WAR
#VP9QVYJ9G,Efeee H,4012,#Y8GR2GUY,PRO AKBULUT
#20PJ2QCPQ0,PapiJose,6927,#9YGL82VQ,War War War War
#U2YGJ0CLQ,PuyolPantsDown,3800,#LLQ98UCL,Legend
#RUJQ889RC,YaBoiNick,3943,#YJ2CJPYL,Clan
#Q80L8U0V,cole,10000,#LUCL9QJ8,CLAN
#209RPPJU8,lj,9314,#GQL0P0PR,DFD1
#UQPJ9J80Q,nico1pg,1433,#LRUGURLV,grupo pro
#UJYCVYQG9,√nico°=×,2023,#LLG888GJ,LEGEND
#GQ22YQRY2,ZX,9016,#LVLYGGLV,KSA PRO
#UUQG90YYY,VulePička123,2030,#GGJ0Q0LC,AKBLA clash roy
#89PL2QRGP,Pattykick,10000,#RYRVV0QY,LEGEND
#UL92JPR2Y,Jp,4660,#GR8RYQCY,king
#20LC88PURG,ben yarrabandı,609,#GUL8QVVV,919191
#UPVUQVVJ0,Sebastián,3861,#G2RPYJJQ,los pro
#9LCGVCPJR,ASM_AMASAN,9061,#GVGRL8RP,liga pro
#LVVU80QL9,cowbot,1824,#YPLU808L,war war war war
#CCQRYLRGC,bbno$,867,#LJ9RCGQ2,como sea
#QQYYJR0G,Blaze,8923,#2GV8UGYP,Legend
#8QCGYQC2C,گرار,10000,#QJGYQ9RR,King
#G08VPRYV8,MRBURGER,8560,#RGPVQRGY,The last of the
