card_id,trophy_bin,appearances,wins_with_card,total_battles_bin,usage_rate,win_rate,card_name
26000018,0-4999,32735,24662,47493,0.6892594698166046,0.7533832289598289,Mini P.E.K.K.A
28000000,0-4999,23478,14611,47493,0.4943465352788832,0.6223272851179827,Fireball
26000011,0-4999,23195,14546,47493,0.4883877624070916,0.627117913343393,Valkyrie
28000001,0-4999,22130,13010,47493,0.4659634051333881,0.587889742431089,Arrows
26000012,0-4999,21935,14708,47493,0.4618575369001748,0.670526555732847,Skeleton Army
26000007,0-4999,20364,13323,47493,0.4287789779546459,0.6542427813789039,Witch
26000017,0-4999,20022,12115,47493,0.42157791674562567,0.6050844071521326,Wizard
26000000,0-4999,19411,12193,47493,0.40871286294822395,0.6281489876873938,Knight
26000015,0-4999,18940,12263,47493,0.3987956119849241,0.6474656810982049,Baby Dragon
28000004,0-4999,18055,11271,47493,0.3801612869264944,0.6242592079756301,Goblin Barrel
26000021,0-4999,17295,10368,47493,0.36415892868422717,0.599479618386817,Hog Rider
26000008,0-4999,14727,8383,47493,0.31008780241298717,0.5692265906158755,Barbarians
26000014,0-4999,14591,8870,47493,0.3072242225170025,0.6079089849907477,Musketeer
26000016,0-4999,14200,8582,47493,0.2989914303160466,0.6043661971830986,Prince
26000003,0-4999,13653,8655,47493,0.28747394352852,0.6339266095363656,Giant
26000001,0-4999,12788,7886,47493,0.26926073316067634,0.6166718798873945,Archers
27000000,0-4999,12744,6796,47493,0.26833428084138716,0.5332705586942875,Cannon
26000005,0-4999,12188,7220,47493,0.2566272924430969,0.5923859533967837,Minions
26000019,0-4999,11440,5929,47493,0.24087760301518119,0.5182692307692308,Spear Goblins
26000010,0-4999,11147,5766,47493,0.23470827279809656,0.5172692204180497,Skeletons
26000036,0-4999,10786,5875,47493,0.22710715263301962,0.5446875579454848,Battle Ram
28000008,0-4999,10237,5281,47493,0.2155475543764344,0.5158737911497508,Zap
26000004,0-4999,9447,5533,47493,0.19891352409828816,0.5856885783846724,P.E.K.K.A
26000037,0-4999,8949,5597,47493,0.18842776830269725,0.6254330092747793,Inferno Dragon
26000013,0-4999,8936,4767,47493,0.18815404375381636,0.5334601611459265,Bomber
27000001,0-4999,8887,4749,47493,0.1871223127618807,0.5343760549116687,Goblin Hut
26000025,0-4999,8398,4506,47493,0.17682605857705347,0.5365563229340319,Guards
28000011,0-4999,7827,4834,47493,0.1648032341608237,0.6176057237766704,The Log
26000055,0-4999,7763,5214,47493,0.16345566715094856,0.671647558933402,Mega Knight
26000049,0-4999,7692,3853,47493,0.16196070999936832,0.500910036401456,Bats
27000012,0-4999,7634,3862,47493,0.160739477396669,0.5058946816871889,Goblin Cage
26000040,0-4999,7556,4273,47493,0.15909713010338367,0.5655108523028057,Dart Goblin
26000002,0-4999,6862,3494,47493,0.1444844503400501,0.5091809967939376,Goblins
27000003,0-4999,6360,3076,47493,0.13391447160634198,0.48364779874213837,Inferno Tower
26000006,0-4999,6332,3360,47493,0.13332491103952163,0.5306380290587492,Balloon
26000041,0-4999,6316,3478,47493,0.13298801928705284,0.5506649778340722,Goblin Gang
26000030,0-4999,6037,3084,47493,0.1271134693533784,0.5108497598144774,Ice Spirit
26000039,0-4999,6032,2874,47493,0.1270081906807319,0.47645888594164454,Mega Minion
27000009,0-4999,5918,2971,47493,0.1246078369443918,0.5020277120648868,Tombstone
26000084,0-4999,5823,2708,47493,0.1226075421641084,0.46505237849905545,Electro Spirit
28000026,0-4999,5726,3324,47493,0.12056513591476639,0.5805099545930842,Vines
27000006,0-4999,5660,3220,47493,0.11917545743583265,0.568904593639576,Tesla
26000027,0-4999,5636,3031,47493,0.11867011980712946,0.5377927608232789,Dark Prince
28000015,0-4999,5137,2689,47493,0.10816330827700925,0.5234572707806112,Barbarian Barrel
28000017,0-4999,5027,2379,47493,0.10584717747878634,0.4732444798090312,Giant Snowball
26000026,0-4999,4420,2600,47493,0.09306634661950182,0.5882352941176471,Princess
26000045,0-4999,4342,2556,47493,0.09142399932621649,0.5886688162137264,Executioner
26000059,0-4999,4016,1977,47493,0.08455982986966501,0.4922808764940239,Royal Hogs
26000042,0-4999,3867,2274,47493,0.08142252542479944,0.5880527540729248,Electro Wizard
26000080,0-4999,3752,1712,47493,0.07900111595393006,0.4562899786780384,Skeleton Dragons
26000064,0-4999,3731,2264,47493,0.07855894552881477,0.6068078263200214,Firecracker
26000031,0-4999,3529,1561,47493,0.07430568715389636,0.44233493907622556,Fire Spirit
28000003,0-4999,3461,1488,47493,0.07287389720590402,0.42993354521814503,Rocket
28000005,0-4999,3442,1543,47493,0.07247383824984735,0.4482858803021499,Freeze
26000032,0-4999,3354,1659,47493,0.07062093361126903,0.49463327370304117,Miner
26000058,0-4999,3182,1779,47493,0.06699934727222959,0.5590823381521056,Wall Breakers
26000063,0-4999,3135,1789,47493,0.06600972774935254,0.5706539074960127,Electro Dragon
27000004,0-4999,3111,1545,47493,0.06550439012064936,0.49662487945998074,Bomb Tower
26000056,0-4999,3034,1582,47493,0.06388309856189334,0.5214238628872775,Skeleton Barrel
27000010,0-4999,2808,1607,47493,0.059124502558271744,0.5722934472934473,Furnace
28000009,0-4999,2737,1216,47493,0.05762954540669151,0.4442820606503471,Poison
26000043,0-4999,2627,1609,47493,0.055313414608468614,0.6124857251617815,Elite Barbarians
26000047,0-4999,2590,1356,47493,0.05453435243088455,0.5235521235521235,Royal Recruits
26000033,0-4999,2539,1463,47493,0.053460509969890296,0.576211106734935,Sparky
26000009,0-4999,2531,1327,47493,0.05329206409365591,0.5242986961675227,Golem
