tag,name,trophies,clan_tag,clan_name
#8Y09RJCUU,Elinton,9150,#QJ80LQJU,ELITE
#UVL8UJJV2,superme,6286,#R99CYLGY,STAR
#VLGJVUQU8,babzis123,503,#QCRLVP9Q,pro
#9CU8R00PL,Es Molina:),10000,#8G0U9U2,nova
#UUU2CG9QP,toxic,300,#RPU8C09P,ABC
#UC0YC0RJV,i so hard,5211,#L89U8J0R,ABC ABC ABC ABC
#UVUPGJU8G,Sypa,3500,#G0GG8P28,Dragon
#2G8GLU0C8,Nick Stripe,9650,#Q09R0C9,Elite
#UJL9LG20J,carlangas,4321,#GY9PJGV0,Queen
#JVYCCUGP2,ave,2420,#G9009VL2,Queen
#ULUPCJGJL,القاتل 515,7172,#YQGQ9LC9,ABC ABC ABC ABC
#PYVV9P9,wolfgang,10000,#QU8LQQ2C,NoVa
#VJQPUJQJG,tućin,7833,#282UUPQ,king
#8PVQ9YUU8,EDGAR 87,10000,#QU2C28VY,Knight
#9RLJGQCYQ,luca,3887,#LUJ89G08,XYZ
#Y9898GC8V,Stevooo!,422,#G29VU9QU,mega
#LVJ8GYG9,QRDSJesterß,6367,#Y8UCQ8L0,fire
#CV8Y90GQ0,-ALAN018-,9893,#PY88YPPJ,Fire
#2022GQ0QCP,knk,4588,#RRC0RJUQ,royal
#PVLVJL08,kezman,9360,#L2LU2YQP,dark
#V8GRRLJU2,Amir:),5452,#GQVPRLUU,God
#VR2YLV2RV,GM~Farhan,1812,#R0GV9PCU,god god god god
#GU0JVJJVJ,csaavedra,9678,#R82JV0YJ,Ninja
#200GLRGVUQ,mmkk,6500,#QR2P2PLU,xyz
#JRQ20V80J,timoy,8000,#QYC0CUJ9,NOVA
#YP9V0JL8L,⊙ܫ⊙,8199,#2UC9YRPJ,king
#R8L080QP8,fischiolom_676,6676,#RGJCR9GL,knight
#GCQ2RLQVU,R 1 8 B,10000,#G009GV8C,pro
#UURCGUJLL,andyhowland,2741,#GY9PJGV0,Queen
#8CP0LJLGC,Royal Army,8898,#G9C8Q9YP,The
#LPLGYV8GL,fet’s luck,8503,#G28CRLLG,Storm
#VCP90V9LU,شوالیه سیاه,710,#GQVPRLUU,God
#8J99J80P,S.H,7267,#G2Y2R22G,xyz
#UU00LVUP2,Tu,3903,#QCGJQJJY,Queen
#UC2Q022UY,lil,5720,#900RUJUY,clan clan clan
#YPC9YQRQL,Raava,10000,#2UC9YRPJ,king
#2GJCYPJ0U,Macabre,10000,#9P9PJ0GQ,War War War
#UCVUPJVR2,Ogplayer,4438,#QRRYC2GL,XYZ
#20LQPPVLVG,Meteesr,3803,#YGVJ0YV8,Nova
#202VJCGU00,شاهزاده,835,#GQVPRLUU,God
#P2V0G2P90,Lenon,7097,#PY88YPPJ,Fire
